TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
A020412    ,Sandcastle Bowl Bar & Grill,1938 152 St,Surrey,Restaurant,49.03724945,-122.8009197
A018007    ,Sangam Palace,11267 125A St,Surrey,Restaurant,49.2073838,-122.8746878
GEDS-6NKTCW,Sanja Punjab Sweet House,12830 96 Ave,Surrey,Restaurant,49.17696905,-122.8670944
SHEN-A4MU79,Sapphire 2 Bistro Banquets,7500 120 St,Surrey,Restaurant,49.13913715,-122.8900684
SWOD-A35RCT,Sapporo Kitchen,1625 152 St,Surrey,Restaurant,49.03240001,-122.8016914
SWOD-AENN54,Sarpanch Sweets And Restaurant,14645 108 Ave,Surrey,Restaurant,49.19888287,-122.816413
SWOD-9Z3M5P,Sashimi & Sushi Express,15277 100 Ave,Surrey,Restaurant,49.1844401,-122.7987902
SDFO-8FQQ94,Satnam Education Society of BC,10677 124 St,Surrey,Restaurant,49.19613704,-122.8789124
SWOD-AHBRRB,Satya Asha Fusion Bar & Restaurant,12818 72 Ave,Surrey,Restaurant,49.13371285,-122.8673791
A019543    ,Save On Foods #2207 - Deli,10312 King George Blvd,Surrey,Restaurant,49.18972695,-122.8448863
GEDS-6VZNPH,Save On Foods #2215 - Deli,17745 64 Ave,Surrey,Restaurant,49.11971809,-122.7319246
HCAR-AZXQVR,Save On Foods #2215 - Wine,17745 64 Ave,Surrey,Restaurant,49.11971809,-122.7319246
SWOD-A4ZPMN,Save On Foods #2215 Kitchen,17745 64 Ave,Surrey,Restaurant,49.11971809,-122.7319246
A019397    ,Save On Foods #2235 - Kitchen,1641 152 St,Surrey,Restaurant,49.0325256,-122.8016893
GEDS-7MKUBS,Save On Foods #2263 - Deli,18710 Fraser Hwy,Surrey,Restaurant,49.12422162,-122.7033916
A019791    ,Save On Foods #903 - Deli,3033 152 St,Surrey,Restaurant,49.05707032,-122.8020864
GEDS-79JU38,Save On Foods #910 - Deli,7320 King George Blvd,Surrey,Restaurant,49.13512719,-122.8451398
SHEN-9UJU2N,Save On Foods #918 - Kitchen,9014 152 St,Surrey,Restaurant,49.16697429,-122.7992408
GEDS-66S2CD,Save On Foods #939 - Deli,12130 Nordel Way,Surrey,Restaurant,49.16125226,-122.8860325
JRON-67B26M,Save On Foods #939 - Seafood Section,12130 Nordel Way,Surrey,Restaurant,49.16125226,-122.8860325
SDFO-8EUQ7N,Sawbuck's Pub,1626 152 St,Surrey,Restaurant,49.0316488,-122.8008961
NDAA-9R9MQD,Scott Hill Pizza,15154 Fraser Hwy,Surrey,Restaurant,49.16640004,-122.8026669
SHEN-ABMQFG,Scott Hill Pizza,9380 120 St,Surrey,Restaurant,49.17352547,-122.88992
GEDS-6TSR35,Scott Hill Pizza (137th St),7330 137 St,Surrey,Restaurant,49.13602606,-122.8425791
SWOD-AQFQD7,Scott's 96 Pizza,15932 96 Ave,Surrey,Restaurant,49.17674494,-122.7808194
SWOD-A54NS4,Scott's Landing,14877 108 Ave,Surrey,Restaurant,49.19944932,-122.8092791
A018893    ,Scottsdale Lanes Snack/Lounge,12033 84 Ave,Surrey,Restaurant,49.15611731,-122.8889887
GEDS-6E8Q78,Seahorse Grill,12147 Sullivan St,Surrey,Restaurant,49.05601542,-122.8852786
SPLH-9SZQ3M,Second Cup - Store #9686,13750 96 Ave,Surrey,Restaurant,49.1768222,-122.8424406
SHEN-A2KV3D,777 Pizza & Donair,7750 128 St,Surrey,Restaurant,49.14358109,-122.8676534
JDSO-AD4MWR,A & W #0755,8811 126 St,Surrey,Restaurant,49.1633754,-122.8737864
A017301    ,A&W #0180,1711 152 St,Surrey,Restaurant,49.0331143,-122.801669
A018613    ,A&W #0315,17830 56 Ave,Surrey,Restaurant,49.10399479,-122.7284669
A017293    ,A&W #0338,7330 King George Blvd,Surrey,Restaurant,49.13603845,-122.8452337
A017349    ,A&W #0339,12133 72 Ave,Surrey,Restaurant,49.13426872,-122.8867063
A017335    ,A&W #0348,15988 Fraser Hwy,Surrey,Restaurant,49.15724844,-122.7795386
A020068    ,A&W #0389,8488 120 St,Surrey,Restaurant,49.15703763,-122.8901006
SDFO-8HVQQ6,A&W #0575,2303 King George Blvd,Surrey,Restaurant,49.04383959,-122.7920079
HCAR-BC9TWR,A&W #0735,10153 King George Hwy,Surrey,Restaurant,49.18592247,-122.8458478
SWOD-A53UKG,A&W #0768,9900 King George Blvd.,Surrey,Restaurant,49.18235922,-122.844907
NDAA-9BHRSB,A&W #749,10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
SHEN-A6LRKW,A&W Restaurant #0767,16033 108 Ave,Surrey,Restaurant,49.1989669,-122.7777544
HCAR-AVHUXX,A&W Restaurant #0789,2332 160 St,Surrey,Restaurant,49.04383012,-122.7764031
SHEN-9SZQZX,A&W Restaurant (Campbell Heights),2725 192 St,Surrey,Restaurant,49.05220052,-122.6918188
GEDS-7WNLD2,A1 Coffee & Donuts,14795 108 Ave,Surrey,Restaurant,49.19888405,-122.8127273
NDAA-9LCTP9,Aaron's Steak & Pizza,17665 57 Ave,Surrey,Restaurant,49.10610661,-122.7332369
GEDS-82GN63,Academics preKindergarten,15300 Croydon Dr,Surrey,Restaurant,49.05992987,-122.7980344
SHEN-B55Q3P,Active Body Express,15850 26 Ave,Surrey,Restaurant,49.04901067,-122.7830508
HCAR-BANU4F,Adana Grill,13647 72 Ave,Surrey,Restaurant,49.13373657,-122.8442029
SDFO-8JQQA2,Afghan Bakery and Fast Food,13748 104 Ave,Surrey,Restaurant,49.19140156,-122.841156
GEDS-7NQMLP,Afghan Chopan,12888 80 Ave,Surrey,Restaurant,49.14799486,-122.8660483
HCAR-ASJM82,Afghan Kitchen,16120 24 Ave,Surrey,Restaurant,49.04472384,-122.776141
GEDS-7SQSSS,Aggarwal Sweets,8158 128 St,Surrey,Restaurant,49.15125369,-122.8651168
SHEN-9ZZMMA,Agoongyi Korean Restaurant,19555 Fraser Hwy,Surrey,Restaurant,49.11473773,-122.6811169
NDAA-9ENQTN,Aji Sushi Family Kitchen,3268 King George Blvd,Surrey,Restaurant,49.06108806,-122.8120565
HCAR-BDRV5B,Aka Sushi,18408 64 Ave,Surrey,Restaurant,49.11859295,-122.7119888
GEDS-6KQRZZ,Akasaka Japanese Restaurant (Surrey),15110 101 Ave,Surrey,Restaurant,49.18597032,-122.8034003
ACAK-8YCPMD,Akash Chaat House & Restaurant,12877 80 Ave,Surrey,Restaurant,49.14842952,-122.8651435
A018765    ,Al & Jan's Fish & Chips,9014 152 St,Surrey,Restaurant,49.16697429,-122.7992408
SWOD-A3NPVR,Alebi African Cuisine,10694 135A St,Surrey,Restaurant,49.19704062,-122.8467038
A013615    ,Alexandra Neighbourhood House (Main Dining Hall),2916 McBride Ave,Surrey,Restaurant,49.05540441,-122.8850721
A017226    ,Aling Mary's Filipino Restaurant,13979 104 Ave,Surrey,Restaurant,49.19166232,-122.8346494
NDAA-8YAT4Z,All About Pho,10190 King George Blvd,Surrey,Restaurant,49.18759458,-122.8451525
HCAR-AUXPC5,Ambros Subway,19188 72 Ave,Surrey,Restaurant,49.13346587,-122.6915763
PNEL-8SRNSV,Amenida Seniors Community,13855 68 Ave,Surrey,Restaurant,49.12674536,-122.8389384
NDAA-93ARHG,An Pho Vietnamese Restaurant,13784 104 Ave,Surrey,Restaurant,49.19140543,-122.8404146
NDAA-8YPQCC,Anand Pizza and Sweet Shop,13245 72 Ave,Surrey,Restaurant,49.13385503,-122.855425
JDSO-ACPLSA,Anjali's Dosa Garden,13560 77 Ave,Surrey,Restaurant,49.14253796,-122.8470645
NDAA-9C3S2J,Aomori Sushi Japanese Restaurant,13767 72 Ave,Surrey,Restaurant,49.13376303,-122.8398677
GEDS-7HVV7W,Apna Chaat House,7500 120 St,Surrey,Restaurant,49.13913715,-122.8900684
NDAA-98TQ7G,Arbourside Court,13751 74 Ave,Surrey,Restaurant,49.13739667,-122.8404603
SHEN-A72QX9,Archies BBQ,10180 153rd St,Surrey,Restaurant,49.1875961,-122.7978827
MARO-B3LRLU,Argyll Lodge,14590 106A Ave,Surrey,Restaurant,49.1958818,-122.817822
SPLH-9SZU57,Aria Banquet & Convention Centre,12350 Pattullo Pl,Surrey,Restaurant,49.20319635,-122.8803006
GEDS-7TBT7Q,Arirang Korean Restaurant,14916 104 Ave,Surrey,Restaurant,49.19133805,-122.8082472
A019968    ,Asia Restaurant,15551 Fraser Hwy,Surrey,Restaurant,49.16241879,-122.7912586
JDSO-ACJV37,Asian Flavour Deli,13048 Old Yale Rd,Surrey,Restaurant,49.18882471,-122.8607165
GEDS-6HLMTJ,Asian Noodle Island,15988 Fraser Hwy,Surrey,Restaurant,49.15724844,-122.7795386
RORS-63ZMXY,Assini Pizza Restaurant Ltd,15551 Fraser Hwy,Surrey,Restaurant,49.16241879,-122.7912586
NDAA-94FQEJ,Awahsuk Aboriginal Head Start Association of BC,14589 108 Ave,Surrey,Restaurant,49.198918,-122.8176284
SWOD-AF3QQF,Ay Chihuahua Mexican Food,1726 152 St,Surrey,Restaurant,49.03330007,-122.8009363
HCAR-BCUQRD,B & B Restaurant,8077 King George Blvd,Surrey,Restaurant,49.1494583,-122.8460133
GEDS-78NVVM,Ba Le Deli & Sandwiches,15277 100 Ave,Surrey,Restaurant,49.1844401,-122.7987902
SHEN-BCSUVC,Bacayon Chibugan,13979 104 Ave,Surrey,Restaurant,49.19166232,-122.8346494
SHEN-9PELJD,Backstretch Restaurant,17740 62 Ave,Surrey,Restaurant,49.11555279,-122.7308511
PNEL-8R5V4M,Baik Mi Korean Restaurant,19539 Fraser Hwy,Surrey,Restaurant,49.11496842,-122.6816187
SHEN-9ZWSSQ,Bakeshop and Cafe,16011 Fraser Hwy,Surrey,Restaurant,49.15741148,-122.7784307
NDAA-9K2Q6R,Bamboo Restaurant,15785 Croydon Dr,Surrey,Restaurant,49.0472666,-122.784369
MARO-AZ7VFD,Barcelo's Flame Grilled Chicken (24th Ave),16070 24 Ave,Surrey,Restaurant,49.04520078,-122.7773528
SHEN-BBWSVV,Barcelos - Impact Plaza,15280 101 Ave,Surrey,Restaurant,49.18597274,-122.7986031
SHEN-9TFPMS,Barcelos Chicken,12499 88 Ave,Surrey,Restaurant,49.16335778,-122.8766604
SHEN-A63QD6,Barcelos Flame Grilled Chicken (King George),7577 King George Blvd,Surrey,Restaurant,49.14042433,-122.845941
SDFO-8MMLPS,Select Pizza,8434 120 St,Surrey,Restaurant,49.15659098,-122.8900795
ACAK-8XGPZ4,Select Pizza (72nd Ave),13635 72 Ave,Surrey,Restaurant,49.13383332,-122.8443458
ACAK-8HLT5U,Semiahmoo House Society,15306 24 Ave,Surrey,Restaurant,49.04543687,-122.7980257
A016809    ,Semiahmoo Secondary School,1785 148 St,Surrey,Restaurant,49.03511455,-122.8129711
SHEN-AGNMSP,Seniors Come Share Society Day Program for Adults,15355 102A Ave,Surrey,Restaurant,49.18894853,-122.7966394
NDAA-9RNU4U,Seoul Grill House,15155 101 Ave,Surrey,Restaurant,49.18629935,-122.802234
HCAR-B9JUC2,Seriously Good Catering (Peace Portal Alliance Church),15128 27B Ave,Surrey,Restaurant,49.05269784,-122.8034408
HCAR-BA8QHR,Seriously Good Catering (Rotary Field House),2197 148 St,Surrey,Restaurant,49.04038605,-122.8150858
A019043    ,Shagun Sweets (Surrey),8388 128 St,Surrey,Restaurant,49.15488649,-122.8677007
GEDS-6MQ252,Shakerz Show Lounge,10458 Whalley Blvd,Surrey,Restaurant,49.19268665,-122.8419221
SDFO-8KCLSD,Shannon Donair,17581 57 Ave,Surrey,Restaurant,49.10609837,-122.735363
NDAA-9H4SAQ,Sharondale Lodge,17826 57 Ave,Surrey,Restaurant,49.10591655,-122.7287649
NDAA-APCPMF,Shawarma Palace,7218 King George Blvd,Surrey,Restaurant,49.1343323,-122.8452132
SHEN-AU2UNF,Sheila's Catering,2201 148 St,Surrey,Restaurant,49.04327446,-122.8147946
GEDS-66BRLC,Sheraton Vancouver Guildford Hotel - Fresh Lounge,15269 104 Ave,Surrey,Restaurant,49.19170882,-122.7988466
GEDS-66BRNT,Sheraton Vancouver Guildford Hotel - Fresh Restaurant,15269 104 Ave,Surrey,Restaurant,49.19170882,-122.7988466
NDAA-ALUPSA,Short & Sweet Patisserie and Bakery,16793 60 Ave,Surrey,Restaurant,49.11167704,-122.757482
NDAA-APCP2Z,Showshaa,3020 152 St,Surrey,Restaurant,49.0572222,-122.8008502
GEDS-6732QE,Shree Sanata Dharam Sabha (Fiji) of BC,8473 124 St,Surrey,Restaurant,49.15709529,-122.8794494
SYOG-5M59W3,Shri Durga Mandir,7750 128 St,Surrey,Restaurant,49.14358109,-122.8676534
ACAK-8XKQ6L,Sikh Academy,12895 85 Ave,Surrey,Restaurant,49.15761124,-122.8650054
HCAR-ASNP97,Snowy Village (Surrey),10090 152 St,Surrey,Restaurant,49.18575463,-122.8005815
HCAR-B97QHH,Soboya Sushi Japanese Restaurant,8952 152 St,Surrey,Restaurant,49.16530528,-122.8007781
HCAR-BCLQF8,Sockeye Sushi,18818 68 Ave,Surrey,Restaurant,49.12601123,-122.7010967
SDFO-894RT6,Sodexo Food Services - Surrey Campus,12666 72 Ave,Surrey,Restaurant,49.13362169,-122.8713254
GEDS-7P929P,Sofi's Shawarma & Donairs,8928 152 St,Surrey,Restaurant,49.16516372,-122.8011565
SHEN-AP5NAA,Softball City Extra Innings - Sport & Grill,2201 148 St,Surrey,Restaurant,49.04327446,-122.8147946
SHEN-AP5NF6,Softball City Extra Innings - Time Out Concession,2201 148 St,Surrey,Restaurant,49.04327446,-122.8147946
GEDS-6XZP8T,Song Huong Vietnamese Restaurant,14667 108 Ave,Surrey,Restaurant,49.19887903,-122.8159039
SWOD-AHRVAL,Song's Snack Stop & Convenience Store,9613 192 St,Surrey,Restaurant,49.17736128,-122.690718
GEDS-7R5P2M,Soo's Grocery,13980 108 Ave,Surrey,Restaurant,49.19866862,-122.8345977
NDAA-9QERMR,Sources Connection Cafe & Catering,14601 20 Ave,Surrey,Restaurant,49.03980925,-122.818622
GEDS-7UDPRX,Sources Life Skills Resource Centre,12996 60 Ave,Surrey,Restaurant,49.11169934,-122.862255
NDAA-9QJQ4J,Sources Women's Place,15318 20 Ave,Surrey,Restaurant,49.03817959,-122.7980168
A016829    ,South Surrey Ice Arena - Lower Concession,2199 148 St,Surrey,Restaurant,49.04156877,-122.8152443
A016828    ,South Surrey Ice Arena - Upper Concession,2199 148 St,Surrey,Restaurant,49.04156877,-122.8152443
SWOD-A5GVJT,Spice 72 Indian Restaurant & Lounge,12025 72 Ave,Surrey,Restaurant,49.13426727,-122.8896971
NDAA-9A7QNA,Spice Kings,15325 56 Ave,Surrey,Restaurant,49.10524442,-122.798429
DMIL-96GQWF,Spice Meats,7028 120 St,Surrey,Restaurant,49.13087217,-122.8900449
JDSO-AEFNMX,Spice of Nepal,13486 72 Ave,Surrey,Restaurant,49.13339373,-122.8487895
SHEN-A79US9,Spice of Punjab Sweets & Restaurant,6350 120 St,Surrey,Restaurant,49.11815677,-122.8900634
SHEN-AKAW3E,Spicy Bowl Restaurant Inc,10725 King George Blvd,Surrey,Restaurant,49.19747121,-122.8456921
SWOD-AHPVGB,Spinhouse Cycling Studio,16041 24 Ave,Surrey,Restaurant,49.04630357,-122.7777057
NDAA-9GUMV3,Sportica's Excellent Ice - On Ice Grill,15000 54A Ave,Surrey,Restaurant,49.10157588,-122.8080184
NDAA-9GUN4K,Sportica's Excellent Ice - Snack Bar,15000 54A Ave,Surrey,Restaurant,49.10157588,-122.8080184
SYOG-5M55P6,St Bernadette Parish Hall,6555 132 St,Surrey,Restaurant,49.12138486,-122.8566824
A018350    ,Starbucks Coffee #139,17967 56 Ave,Surrey,Restaurant,49.10433763,-122.7250269
JCOE-67H9B8,Starbucks Coffee #142,1658 128 St,Surrey,Restaurant,49.03233639,-122.8672689
A019329    ,Starbucks Coffee #144,7380 King George Blvd,Surrey,Restaurant,49.13673593,-122.8452107
ACAK-8VGVCP,Starbucks Coffee #17256,17455 56 Ave,Surrey,Restaurant,49.10436862,-122.7395975
A017915    ,Starbucks Coffee #175,8898 152 St,Surrey,Restaurant,49.16465749,-122.8011703
NDAA-93TW5R,Starbucks Coffee #18290,15850 26 Ave,Surrey,Restaurant,49.04901067,-122.7830508
A016904    ,Starbucks Coffee #194,1730 152 St,Surrey,Restaurant,49.03340524,-122.8009272
NDAA-9BFS8W,Starbucks Coffee #19771,10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
NDAA-9NUQZV,Starbucks Coffee #22435,13737 96 Ave,Surrey,Restaurant,49.17720977,-122.842751
SHEN-AMTPVU,Starbucks Coffee #29383,10385 120 St,Surrey,Restaurant,49.19157709,-122.8906927
SDFO-8EAUE3,Starbucks Coffee #4105,15941 Fraser Hwy,Surrey,Restaurant,49.15831657,-122.7805969
A019360    ,Starbucks Coffee #4255,10362 King George Blvd,Surrey,Restaurant,49.19096128,-122.8450561
A014724    ,Starbucks Coffee #4406,3061 152 St,Surrey,Restaurant,49.05755824,-122.8021027
GEDS-68T2FB,Starbucks Coffee #4468,10174 152 St,Surrey,Restaurant,49.18723165,-122.8006326
NDAA-9R8Q9Z,Starbucks Coffee #4473,10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
GEDS-6HQPVN,Starbucks Coffee #4593,2670 152 St,Surrey,Restaurant,49.05026809,-122.8009322
GEDS-6GTQ2V,Starbucks Coffee #4596,3278 King George Blvd,Surrey,Restaurant,49.06115882,-122.8121525
GEDS-7V3R4H,Barney's Pizza & Chicken,8140 128 St,Surrey,Restaurant,49.15063342,-122.8673223
KSMH-ASJPMA,Baron's Manor Pub,9568 192 St,Surrey,Restaurant,49.17632235,-122.6901231
JDSO-AC3PRJ,Basant Sweet,8148 128 St,Surrey,Restaurant,49.15057771,-122.8648305
GEDS-6JTQZT,Baselines Pub,8233 166 St,Surrey,Restaurant,49.15164148,-122.7619706
GEDS-6VQNPM,Baselines Pub,1938 152 St,Surrey,Restaurant,49.03724945,-122.8009197
A019739    ,Baskin-Robbins Ice Cream #5321,19585 Fraser Hwy,Surrey,Restaurant,49.11428272,-122.6801166
NDAA-9RWU3U,BBQ King Delight Inc,8973 152 St,Surrey,Restaurant,49.16573945,-122.8018043
SWOD-AKEM7K,BBQ Nation,7238 137 St,Surrey,Restaurant,49.1345334,-122.8426152
SDFO-8FAUQX,Bear Creek Market,13578 88 Ave,Surrey,Restaurant,49.16252604,-122.847019
SYOG-5M5624,Bear Creek Market,8776 140 St,Surrey,Restaurant,49.16246168,-122.8344014
SHEN-9ZSST8,Bear Creek Park Concession,13750 88 Ave,Surrey,Restaurant,49.16216661,-122.842413
NDAA-986SEL,Bear Creek Villa,8233 140 St,Surrey,Restaurant,49.15268943,-122.8349443
ACAK-962S88,Beast & Brine Local Provisions,12823 Crescent Rd,Surrey,Restaurant,49.05320652,-122.8669833
HCAR-BA9QLB,Belles Cafe,14007 32 Ave,Surrey,Restaurant,49.06040443,-122.8332503
MARO-B2KQU3,Bengal Grill Restaurant,7750 128 St,Surrey,Restaurant,49.14358109,-122.8676534
SDFO-886NQ3,Bennett Craft & Kitchen,187 176 St,Surrey,Restaurant,49.00522904,-122.7358159
SWOD-AETSW7,Bento Nouveau,2332 160 St,Surrey,Restaurant,49.04383012,-122.7764031
PNEL-8SUUNC,Bento Nouveau (RCSS #1521),7550 King George Blvd,Surrey,Restaurant,49.13966312,-122.845258
GEDS-6TCTLH,Bento Nouveau (RCSS #1556),14650 104 Ave,Surrey,Restaurant,49.19123455,-122.8160259
SHEN-B7BQC5,Best Western Peace Arch Inn,2293 King George Blvd,Surrey,Restaurant,49.04345776,-122.791427
GEDS-7NQ2E6,Bethshan Gardens,17528 59 Ave,Surrey,Restaurant,49.10942888,-122.7372715
GEDS-6HJTPV,Bhaia Sweet & Restaurant,13753 72 Ave,Surrey,Restaurant,49.13377078,-122.8405811
PGOO-65PTDL,Bhaia Sweet Shop & Restaurant,6828 128 St,Surrey,Restaurant,49.12696263,-122.8675312
NDAA-A4VRMG,Bharat Parmar Sweet Shop & Restaurant,13745 72 Ave,Surrey,Restaurant,49.13376451,-122.8411269
PNEL-8RHMTB,Bharat Sweets & Restaurant,15166 Fraser Hwy,Surrey,Restaurant,49.16628593,-122.8023928
NDAA-93AV3A,Big Chicken Town,15280 101 Ave,Surrey,Restaurant,49.18597274,-122.7986031
GEDS-85UR69,Big Ridge Brewing Company,5580 152 St,Surrey,Restaurant,49.10381618,-122.8006762
SHEN-AZ7MAQ,Big Star Sandwich Co (24th Ave),16050 24 Ave,Surrey,Restaurant,49.04470344,-122.7776793
SWOD-APUNLH,Big Star Sandwich Co (Surrey),13402 104 Ave,Surrey,Restaurant,49.19147564,-122.8508567
SPLH-ARZV5U,Black Tiger Coffee Co,19255 Fraser Hwy,Surrey,Restaurant,49.11894729,-122.6894311
SHEN-AZUN3H,Blaze Pizza,2433 161A St,Surrey,Restaurant,49.04668069,-122.7753016
NDAA-9BXTB7,Blenz Central City,13450 102 Ave,Surrey,Restaurant,49.18791904,-122.8487665
HCAR-AW9VDF,Blenz Coffee,16855 24 Ave,Surrey,Restaurant,49.04596382,-122.7552384
PNEL-8RZMFC,Blenz Coffee (152nd),1711 152 St,Surrey,Restaurant,49.0331143,-122.801669
SWOD-A59RBM,Blenz Coffee (Central City South),10153 King George Blvd,Surrey,Restaurant,49.18592247,-122.8458478
SWOD-AHJR4U,Blenz Coffee (Sullivan Heights),14330 64 Ave,Surrey,Restaurant,49.11851305,-122.825215
SDFO-8LPPWW,Blenz Coffee Cafe,9750 140 St,Surrey,Restaurant,49.1797256,-122.8338248
SDFO-8HETFG,Blenz Coffee Kiosk (140th St),9750 140 St,Surrey,Restaurant,49.1797256,-122.8338248
HCAR-B93S8S,Blenz Guildford Recreation Centre,15105 105 Ave,Surrey,Restaurant,49.19341233,-122.8025395
NDAA-9BXPQ9,Blenz SFU Kiosk,13450 102 Ave,Surrey,Restaurant,49.18791904,-122.8487665
NDAA-A4NNJN,Boiling Point,15146 100 Ave,Surrey,Restaurant,49.18396932,-122.8022452
NDAA-A2KMBQ,Bolivar Heights Gas Bar,13916 Grosvenor Rd,Surrey,Restaurant,49.20368515,-122.8363483
GEDS-77FUY9,Bollywood Banquet Hall,8166 128 St,Surrey,Restaurant,49.15130553,-122.8673937
GEDS-6KQRHX,Bombay Banquet Hall,7475 135 St,Surrey,Restaurant,49.13828837,-122.8487816
ACAK-9C6MAB,Bon Accord Care Services Ltd,13350 Old Yale Rd,Surrey,Restaurant,49.18612305,-122.8526002
SWOD-A8TQQ4,Bon Ga Korean Restaurant,10356 Whalley Blvd,Surrey,Restaurant,49.19082227,-122.8417156
NDAA-9RFNPY,Bonny Castle Childrens Center,10706 148 St,Surrey,Restaurant,49.19706791,-122.8121047
A018373    ,Bonnycastle Montessori Day Care Food Service,14630 107A Ave,Surrey,Restaurant,49.19768616,-122.8170029
SHEN-ALTU9K,Boom Bee,15155 101 Ave,Surrey,Restaurant,49.18629935,-122.802234
SHEN-A2FSZ2,Booster Juice #232,10153 King George Blvd,Surrey,Restaurant,49.18592247,-122.8458478
SHEN-9YTTFZ,Booster Juice #278,12080 Nordel Way,Surrey,Restaurant,49.16109806,-122.8886041
NDAA-BC5MC3,Booster Juice #565,16555 Fraser Hwy,Surrey,Restaurant,49.15194416,-122.764104
JDSO-ACVPWV,Booster Juice (Fraser Hwy),18640 Fraser Hwy,Surrey,Restaurant,49.12546293,-122.7060946
GEDS-78JP6B,Booster Juice (Surrey),15355 24 Ave,Surrey,Restaurant,49.04583671,-122.7975044
NDAA-8R8V4H,Boston Pizza #020,6486 176 St,Surrey,Restaurant,49.12017053,-122.7345609
SHEN-AKHSUG,Boston Pizza #18 - Nordel Way,12060 Nordel Way,Surrey,Restaurant,49.1617169,-122.8878037
SHEN-AAKQEF,Boston Pizza #59,15980 Fraser Hwy,Surrey,Restaurant,49.15829516,-122.7819162
A019248    ,Boston Pizza #61,15125 100 Ave,Surrey,Restaurant,49.18440821,-122.803407
A016601    ,Boston Pizza #62,1956 152 St,Surrey,Restaurant,49.03760224,-122.8009599
A020094    ,Boston Pizza #73,7488 King George Blvd,Surrey,Restaurant,49.13853724,-122.8452552
DMIL-AC3L9S,Boulevard Shelter,10677 Whalley Blvd,Surrey,Restaurant,49.19652835,-122.8426635
ACAK-9BEUV9,Bourbon Street Grill (Guildford),10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
GEDS-6HPQAD,Bozzini's Restaurant (Surrey),13655 104 Ave,Surrey,Restaurant,49.19173246,-122.8437312
GEDS-6NLNUT,Starbucks Coffee #4620,18737 Fraser Hwy,Surrey,Restaurant,49.12463696,-122.7030165
GEDS-7D4VHM,Starbucks Coffee #4715,12830 96 Ave,Surrey,Restaurant,49.17696905,-122.8670944
GEDS-74DUWT,Starbucks Coffee #4775,6476 176 St,Surrey,Restaurant,49.12001039,-122.7345758
GEDS-77ZUHF,Starbucks Coffee #4811,15976 108 Ave,Surrey,Restaurant,49.19859349,-122.7794296
GEDS-7RRUYU,Starbucks Coffee #4865,2453 161A St,Surrey,Restaurant,49.04707987,-122.7761177
GEDS-7YSU36,Starbucks Coffee #4941,10153 King George Blvd,Surrey,Restaurant,49.18592247,-122.8458478
GEDS-7W7V3T,Starbucks Coffee #4976,12025 Nordel Way,Surrey,Restaurant,49.16237241,-122.8888952
HCAR-AWNVE9,Starbucks Coffee #52925,16010 24 Ave,Surrey,Restaurant,49.04523092,-122.7785676
NDAA-9P7SJ7,Starbucks Coffee Company #21565,9908 King George Blvd,Surrey,Restaurant,49.18334718,-122.8449947
HCAR-B6J27A,Steve Cobon Building (Site #3),13455 107A Ave,Surrey,Restaurant,49.19756634,-122.8495318
SHEN-AZMSSS,Steve's Poke Bar,9965 152 St,Surrey,Restaurant,49.18379312,-122.8012729
HCAR-BD9T8J,Steve's Poke Bar (Central City),10153 King George Blvd,Surrey,Restaurant,49.18592247,-122.8458478
GEDS-6M4MKD,Sub Garden #1,13482 72 Ave,Surrey,Restaurant,49.13339404,-122.848894
HCAR-BANTEG,Subkuchh Convenience Store,14390 64 Ave,Surrey,Restaurant,49.1184966,-122.82379
GEDS-6HKMMM,Subway #10105,12842 96 Ave,Surrey,Restaurant,49.17696476,-122.8665504
GEDS-7E5PUV,Subway #10452,1797 152 St,Surrey,Restaurant,49.03448175,-122.8014649
A017403    ,Subway #10985,17700 56 Ave,Surrey,Restaurant,49.1038986,-122.7326635
A016854    ,Subway #11642,15551 Fraser Hwy,Surrey,Restaurant,49.16241879,-122.7912586
HCAR-B9MRTP,Subway #13302,10070 152 St,Surrey,Restaurant,49.18541427,-122.8005953
A017303    ,Subway #13542,1623 128 St,Surrey,Restaurant,49.03162785,-122.8677244
A017427    ,Subway #15577,7750 128 St,Surrey,Restaurant,49.14358109,-122.8676534
GEDS-6ZXNY3,Subway #17012,14806 108 Ave,Surrey,Restaurant,49.19856812,-122.8121147
A018782    ,Subway #17467,10153 King George Blvd,Surrey,Restaurant,49.18592247,-122.8458478
A017856    ,Subway #22635,7550 King George Blvd,Surrey,Restaurant,49.13966312,-122.845258
GEDS-6MFQTB,Subway #23526,18775 Fraser Hwy,Surrey,Restaurant,49.12479487,-122.7020931
NDAA-9C4RHK,Subway #26341,2990 152 St,Surrey,Restaurant,49.05622799,-122.8008926
GEDS-672V2W,Subway #27914,10392 King George Blvd,Surrey,Restaurant,49.19137558,-122.8450972
RORS-64MN7M,Subway #27963,6468 King George Blvd,Surrey,Restaurant,49.1202975,-122.8451806
GEDS-7E5SWY,Subway #28648,15976 108 Ave,Surrey,Restaurant,49.19859349,-122.7794296
