TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
NDAA-966PCS,Outtakes,12161 72 Ave,Surrey,Restaurant,49.13501244,-122.8865012
GEDS-772UVP,Pacific Academy,10238 168 St,Surrey,Restaurant,49.18891871,-122.7562398
GEDS-7X2MK9,Pacific Billiards and Snookers,13774 104 Ave,Surrey,Restaurant,49.19140906,-122.8406446
NDAA-9FVSNK,Pacific Bistro and Convenience Store,382 175A St,Surrey,Restaurant,49.00903312,-122.7359333
RORS-5U6QTF,Pacific Carlton,15366 17 Ave,Surrey,Restaurant,49.03276382,-122.7963745
NDAA-9FJTXM,Pacific Community Church,5337 180 St,Surrey,Restaurant,49.09979624,-122.7241954
NDAA-9B3TGR,Pacific Kabab Hut & Catering,10731 King George Blvd,Surrey,Restaurant,49.19765626,-122.8457037
A018215    ,Pacific Life Bible College Cafeteria,15100 66A Ave,Surrey,Restaurant,49.12335647,-122.8036279
SWOD-AF3QGR,Pacific Pizza,12817 Old Yale Rd,Surrey,Restaurant,49.19783731,-122.8670205
NDAA-9AZT2Q,Pacifica Retirement Residence,2525 King George Blvd,Surrey,Restaurant,49.04778017,-122.7976604
A019866    ,Pak Punjab Sweets & Somosas House,12835 96 Ave,Surrey,Restaurant,49.17731947,-122.8666015
SPLH-9P9LLM,Pakwan House,13030 76 Ave,Surrey,Restaurant,49.14081751,-122.8611741
SPLH-9NKPBX,Palmyra Mediterranean Grill,10020 152 St,Surrey,Restaurant,49.18460092,-122.8005947
HCAR-AUNR89,Panago #022,16120 24 Ave,Surrey,Restaurant,49.04472384,-122.776141
A019660    ,Panago #07,14851 108 Ave,Surrey,Restaurant,49.1994351,-122.8101977
SODN-65HUKF,Panago #10,8556 120 St,Surrey,Restaurant,49.15831669,-122.8900703
GEDS-7BRP3Y,Panago #23,7320 King George Blvd,Surrey,Restaurant,49.13512719,-122.8451398
A019251    ,Panago #32,15420 Fraser Hwy,Surrey,Restaurant,49.1635911,-122.7955622
NDAA-93TVRY,Panago #65,12840 16 Ave,Surrey,Restaurant,49.03114098,-122.8662063
SDFO-8LML24,Panago #80,5669 176A St,Surrey,Restaurant,49.10533344,-122.7338782
SHEN-B32QLT,Panago Pizza #34,7310 120 St,Surrey,Restaurant,49.1357896,-122.8900083
NDAA-9DSUU7,Panda Szechuan,3099 152 St,Surrey,Restaurant,49.05809016,-122.8021367
GEDS-6TEV3Q,Panorama Ridge Secondary School Food Service,13220 64 Ave,Surrey,Restaurant,49.11879109,-122.8549875
HCAR-B7YPEQ,Papa Joe's Pizza,16055 Fraser Hwy,Surrey,Restaurant,49.1569391,-122.7771027
SHEN-AZUMHY,Papa John's (Surrey),10558 King George Blvd,Surrey,Restaurant,49.19478964,-122.8449385
SDFO-8JBLH9,Papa John's Pizza #009770 (Surrey),10320 152 St,Surrey,Restaurant,49.19010913,-122.8005972
SWOD-AHBR8X,Papa John's Pizza (South Surrey),2245 160 St,Surrey,Restaurant,49.04289123,-122.7795525
MARO-AZMPRS,Papa Murphy`s Pizza,15355 24 Ave,Surrey,Restaurant,49.04583671,-122.7975044
GEDS-82XN83,Parkland Fellowship,9574 160 St,Surrey,Restaurant,49.17636906,-122.7785642
GEDS-65FUQU,Parkland Food Market,8270 144 St,Surrey,Restaurant,49.15336924,-122.8231242
SHEN-9ZWTDU,Pasta Vino Trattoria & Bar,15355 24 Ave,Surrey,Restaurant,49.04583671,-122.7975044
A020208    ,Path to Freedom Treatment Centre,19030 56 Ave,Surrey,Restaurant,49.10421009,-122.6955071
SDFO-8HKP7E,Pattullo A&W,12808 King George Blvd,Surrey,Restaurant,49.20610961,-122.8668064
SHEN-A47R49,Payal Chaat House & Restaurant,12877 80 Ave,Surrey,Restaurant,49.14842952,-122.8651435
SYOG-5M546R,Peace Portal Alliance Church - Commercial Kitchen,15128 27B Ave,Surrey,Restaurant,49.05269784,-122.8034408
PNEL-6HRRVX,Peace Portal Alliance Church - Servery,15128 27B Ave,Surrey,Restaurant,49.05269784,-122.8034408
A019654    ,Peace Portal Golf Course Lounge,16900 4 Ave,Surrey,Restaurant,49.00906878,-122.7530026
A019528    ,Peace Portal Golf Course Restaurant,16900 4 Ave,Surrey,Restaurant,49.00906878,-122.7530026
SWOD-AKARQ2,Peace Portal Seniors Village,15441 16 Ave,Surrey,Restaurant,49.03127807,-122.7945278
HCAR-B9QS7W,Peaceful Restaurant,7320 King George Blvd,Surrey,Restaurant,49.13512719,-122.8451398
SHEN-9SSR22,Peachwave Clayton Yogurt,18696 Fraser Hwy,Surrey,Restaurant,49.12429034,-122.7036574
GEDS-642SW4,Pearl Fever (Surrey),10330 152 St,Surrey,Restaurant,49.19027016,-122.8000928
SHEN-9QASUV,Pearl Fever Tea House,7310 120 St,Surrey,Restaurant,49.1357896,-122.8900083
GEDS-6LJUGF,Peninsula Resort Retirement Food Service,2088 152 St,Surrey,Restaurant,49.03966889,-122.8009538
SPLH-AAAUPT,Pepperoni Cafe,6388 120 St,Surrey,Restaurant,49.11879807,-122.8901287
NDAA-9C6M25,Pho 99,19533 Fraser Hwy,Surrey,Restaurant,49.11505665,-122.6818106
SHEN-AP8NJL,Pho 99 Express,12837 76 Ave,Surrey,Restaurant,49.141185,-122.8666709
SWOD-AFGPCU,Pho 99 Vietnamese Noodle House (Surrey),8934 152 St,Surrey,Restaurant,49.16515858,-122.8007845
HCAR-B9DNXR,Pho Guildford Restaurant,15138 100 Ave,Surrey,Restaurant,49.18398086,-122.8025302
SHEN-APNR78,Pho Hillton Vietnamese Restaurant,18640 Fraser Hwy,Surrey,Restaurant,49.12546293,-122.7060946
GEDS-7FBP3Q,Pho Hoa Hong Vietnamese Restaurant,10302 City Pky,Surrey,Restaurant,49.18995809,-122.8473921
A019121    ,Pho Hoa Restaurant (Surrey),14357 104 Ave,Surrey,Restaurant,49.19172924,-122.8237719
HCAR-B6KRT3,Pho Hung Restaurant (Surrey),16033 108 Ave,Surrey,Restaurant,49.1989669,-122.7777544
ACAK-8VLMLT,Pho Newton,7488 King George Blvd,Surrey,Restaurant,49.13853724,-122.8452552
HCAR-AVJVJ5,Pho Oh-Ba-Ma,15155 101 Ave,Surrey,Restaurant,49.18629935,-122.802234
NDAA-8ZMPNB,Pho Sunrise Vietnamese Cuisine,15355 24 Ave,Surrey,Restaurant,49.04583671,-122.7975044
A018996    ,Pho Tam Vietnamese Restaurant,10302 City Pky,Surrey,Restaurant,49.18995809,-122.8473921
NDAA-8ZRNLV,Pho Tau Bay Restaurant,7322 King George Blvd,Surrey,Restaurant,49.1353508,-122.8451582
GEDS-6UHQTM,Pho Tau Bay Restaurant (Surrey),10782 148 St,Surrey,Restaurant,49.19805184,-122.8122606
GEDS-76XSU2,Pick & Chews Teriyaki,1711 152 St,Surrey,Restaurant,49.0331143,-122.801669
GEDS-6WVQM8,PICS - Assisted Living Food Service,12075 75A Ave,Surrey,Restaurant,49.14031733,-122.8879403
NDAA-8ZBRY3,Pikanik,1959 152 St,Surrey,Restaurant,49.03727504,-122.8014669
HCAR-BD9P6E,Pink Lotus Pho,16016 Fraser Hwy,Surrey,Restaurant,49.1569315,-122.778281
GEDS-7NXTJY,Piquant Gourmet Foods,1627 128 St,Surrey,Restaurant,49.03172404,-122.8677375
SHEN-A72QKH,Pita Pit #235,9908 King George Blvd,Surrey,Restaurant,49.18334718,-122.8449947
GEDS-7FAUTC,Pita Pit (Surrey),7320 King George Blvd,Surrey,Restaurant,49.13512719,-122.8451398
GEDS-7MMUPB,Pizza 24 (Surrey),9514 120 St,Surrey,Restaurant,49.17605137,-122.889867
SHEN-A2FN38,Pizza 64,12499 88 Ave,Surrey,Restaurant,49.16335778,-122.8766604
GEDS-83MVDP,Pizza 64,13190 64 Ave,Surrey,Restaurant,49.11884568,-122.8569577
SWOD-9Z3MVN,Pizza 64 #2,16780 64 Ave,Surrey,Restaurant,49.11868842,-122.7575345
KSMH-AQWTG2,Pizza 85,8553 132 St,Surrey,Restaurant,49.15823711,-122.8577082
HCAR-B3WMVR,Pizza Boss,5775 176 St,Surrey,Restaurant,49.10733737,-122.7351874
HCAR-BD3QD4,Pizza Empire,2982 152 St,Surrey,Restaurant,49.05569682,-122.8009088
A020239    ,Pizza Factory (Surrey 2),6838 King George Blvd,Surrey,Restaurant,49.12666981,-122.8451219
